country_name,growth,oil,rgdp60,tradeshare,yearsschool,rev_coups,assasinations
India,1.9151679,0,765.99982,.14050198,1.45,.13333334,.86666667
Argentina,.61764508,0,4462.0015,.15662298,4.9899998,.93333334,1.9333333
Japan,4.304759,0,2953.9995,.15770322,6.71,0,.2
Brazil,2.9300966,0,1783.9999,.16040508,2.8900001,.1,.1
United States,1.7122649,0,9895.0039,.16081505,8.6599998,0,.43333334
Bangladesh,.7082631,0,951.99982,.22145839,.79000002,.30648148,.175
Spain,2.8803267,0,3123.0015,.29940593,3.8,.06666667,1.4333333
Colombia,2.2270143,0,1684.0004,.31307286,2.97,.1,.76666665
Peru,.060205959,0,2019.0002,.32461271,3.02,.26666668,.56666666
Haiti,-.65793407,0,923.99994,.32474557,.69999999,.37407407,.2
Australia,1.9751474,0,7782.0024,.32947925,9.0299997,0,.06666667
Italy,2.9329815,0,4564.0005,.33002168,4.5599999,.033333335,1.2
Greece,3.22405,0,2093,.337879,4.3699999,.16666667,.16666667
France,2.4312809,0,5823.0005,.33970624,4.6500001,0,.30000001
Zaire,-2.8119445,0,488.99991,.35231763,.54000002,.14814815,.055555556
Uruguay,1.0253086,0,3967.9998,.35885671,5.0700002,0,.16666667
Mexico,1.9739418,0,2836.0002,.39325091,2.4100001,0,.16666667
Pakistan,2.698163,0,638,.41760394,.63,.26666668,.26666668
Niger,-2.751478,0,531.99988,.42583725,.2,.13333334,0
Bolivia,.35505781,0,1147.9998,.43557933,4.6799998,.97037035,.2
Germany,2.4536881,0,6569.9985,.4421429,7.6399999,.06666667,.23333333
Canada,2.3859885,0,7257.9971,.44437462,8.0699997,0,.06666667
United Kingdom,1.9622195,0,6822.999,.45054665,7.6700001,.26666668,.33333334
New Zealand,1.1241318,0,7960.001,.4557693,9.5500002,0,0
Philippines,1.1587406,0,1133,.46834657,3.77,.73333335,1.0333333
Finland,2.7984943,0,5291.002,.47325489,7.5100002,0,0
Venezuela,-.88355076,0,6337.998,.48460078,2.53,.26666668,.1
"Korea, Republic of",7.1568546,0,904.00006,.4889496,3.23,.33333334,.1
Guatemala,.92923063,0,1659.9998,.50959027,1.42,.54074073,2.4666667
Honduras,.59778476,0,1038.9999,.51766455,1.6900001,.26666668,.06666667
El Salvador,-.6075561,0,1426.9999,.52777332,1.7,.63333333,1.7333333
Chile,1.4469954,0,2885.0005,.53468466,4.9899998,.16666667,.46666667
Thailand,4.8766952,0,943,.54333711,3.45,.40000001,.033333335
Sweden,1.8881342,0,7592.0024,.54424351,7.6700001,0,0
Senegal,-.43782407,0,1047.0001,.5508126,1.62,.033333335,.06666667
Trinidad and Tobago,1.1207864,0,5627.002,.55272233,4.3099999,.033333335,0
Ecuador,2.388093,0,1460.9996,.56064254,2.95,.53333336,0
Denmark,2.1793702,0,6759.999,.56074965,10.07,0,0
Switzerland,1.4218653,0,9408.9971,.56713098,6.8699999,0,0
Austria,2.8891852,0,5143.001,.57527483,3.6500001,0,0
Zimbabwe,.83815551,0,988.99988,.58281428,1.54,.2,.23333333
Paraguay,2.3819315,0,1176.9999,.60303533,3.3499999,.06666667,.033333335
Costa Rica,1.6136966,0,2096.0002,.60503125,3.9200001,0,0
Portugal,3.6473098,0,1869,.61361688,1.9400001,.23333333,0
Togo,.46277532,0,366.99994,.62607974,.27000001,.16666667,.033333335
Iceland,3.0123889,0,4963.9985,.63948417,5.6300001,0,0
Israel,2.8109694,0,3476.9993,.64691353,6.9899998,.06666667,.2
South Africa,.39202112,0,2191.0002,.65120363,4.0599999,.1,.36666667
Norway,3.1824937,0,5610.0005,.68155515,5.5599999,0,0
Sierra Leone,-.33983421,0,877.99994,.69943291,.52999997,.47407407,.033333335
Dominican Republic,2.498769,0,1194.9998,.70481992,2.3800001,.30000001,.2
Ghana,-.96316224,0,894,.72923231,.69,.43703705,.1
Sri Lanka,2.7045984,0,1258.9999,.7429716,3.4300001,.2,.2
"Taiwan, China",6.6247344,0,1256,.74549782,3.3199999,.033333335,.06666667
Panama,2.0271885,0,1574.9999,.77984709,4.2600002,.13333334,.06666667
Papua New Guinea,1.1203711,0,1235.0001,.79837584,1.13,.033333335,0
Kenya,1.9625092,0,659.00006,.81471002,1.2,.033333335,.14444445
Ireland,3.254494,0,3310.999,.82295638,6.4499998,0,.06666667
Jamaica,.41779017,0,1772.9999,.83023834,2.46,0,.13333334
Netherlands,2.2005773,0,6076.9971,.8342042,5.27,0,0
Cyprus,5.3841844,0,2037.0004,.97935539,4.29,.1,.16666667
Malaysia,4.1145439,0,1420.0002,1.1053642,2.3399999,.033333335,.033333335
Belgium,2.6513345,0,5495.002,1.115917,7.46,0,0
Mauritius,3.0241778,0,2861.9993,1.127937,2.4400001,0,0
Malta,6.6528378,0,1374,1.9926157,5.6399999,0,0
