observat,dist_cod,county,district,gr_span,enrl_tot,teachers,calw_pct,meal_pct,computer,testscr,comp_stu,expn_stu,str,avginc,el_pct,read_scr,math_scr
1,75119,Alameda,Sunol Glen Unified,KK-08,195,10.9,.51020002,2.0408001,67,690.79999,.34358975,6384.9111,17.88991,22.690001,0,691.59998,690
2,61499,Butte,Manzanita Elementary,KK-08,240,11.15,15.4167,47.916698,101,661.20001,.42083332,5099.3809,21.524664,9.8240004,4.5833335,660.5,661.90002
3,61549,Butte,Thermalito Union Elementary,KK-08,1550,82.900002,55.032299,76.322601,169,643.59998,.10903226,5501.9546,18.697226,8.9779997,30.000002,636.29999,650.90002
4,61457,Butte,Golden Feather Union Elementary,KK-08,243,14,36.475399,77.049202,85,647.70001,.34979424,7101.8311,17.357143,8.9779997,0,651.90002,643.5
5,61523,Butte,Palermo Union Elementary,KK-08,1335,71.5,33.108601,78.427002,171,640.84998,.12808989,5235.9878,18.671329,9.0803328,13.857677,641.79999,639.90002
6,62042,Fresno,Burrel Union Elementary,KK-08,137,6.4000001,12.3188,86.956497,25,605.55005,.18248175,5580.147,21.40625,10.415,12.408759,605.70001,605.40002
7,68536,San Joaquin,Holt Union Elementary,KK-08,195,10,12.9032,94.623703,28,606.75,.14358975,5253.3311,19.5,6.5770001,68.717949,604.5,609
8,63834,Kern,Vineland Elementary,KK-08,888,42.5,18.806299,100,66,609,.074324325,4565.7461,20.894117,8.1739998,46.959461,605.5,612.5
9,62331,Fresno,Orange Center Elementary,KK-08,379,19,32.189999,93.139801,35,612.5,.092348285,5355.5483,19.947369,7.3850002,30.079157,608.90002,616.09998
10,67306,Sacramento,Del Paso Heights Elementary,KK-06,2247,108,78.994202,87.316399,0,612.65002,0,5036.2114,20.805555,11.613333,40.275921,611.90002,613.40002
11,65722,Merced,Le Grand Union Elementary,KK-08,446,21,18.6099,85.874397,86,615.75,.19282511,4547.6924,21.238094,8.9309998,52.914799,612.79999,618.70001
12,62174,Fresno,West Fresno Elementary,KK-08,987,47,71.713097,98.605598,56,616.29999,.056737587,5447.3452,21,7.3850002,54.609932,616.59998,616
13,71795,Tulare,Allensworth Elementary,KK-08,103,5,22.429899,98.130798,25,616.29999,.24271844,6567.1494,20.6,5.335,42.718445,612.79999,619.79999
14,72181,Tulare,Sunnyside Union Elementary,KK-08,487,24.34,24.6094,77.148399,0,616.29999,0,4818.6128,20.008217,8.2790003,20.53388,610,622.59998
15,72298,Tulare,Woodville Elementary,KK-08,649,36,14.6379,76.271202,31,616.45001,.047765795,5621.4561,18.027779,9.6300001,80.12326,611.90002,621
16,72041,Tulare,Pixley Union Elementary,KK-08,852,42.07,24.214199,94.2957,80,617.34998,.093896717,6026.3599,20.251961,7.454,49.413143,614.79999,619.90002
